City,City ID,Location,Temperature,Humidity,Cloudiness,Wind Speed
Ushuaia,8303,-54.81,272.15,80,75,11.3
Margate,9545,-43.03,281.48,61,75,4.6
Cape Town,1899,-33.93,286.15,87,0,5.1
Albany,3273,42.65,299.82,88,75,3.6
Tuatapere,2008959,-46.13,280.93,79,93,2.24
Port Alfred,2011314,-33.59,289.26,67,0,3.13
Punta Arenas,8487,-53.16,273.15,60,75,12.9
Mataura,2008959,-46.19,280.93,79,88,2.24
Georgetown,8776,6.8,303.15,66,40,2.1
Arraial do Cabo,8326,-22.97,294.15,88,75,5.1
Mount Isa,9495,-20.73,283.15,43,66,2.6
Orange Cove,5145,36.62,312.59,27,0,2.6
Wanning,6874,48.64,294.26,77,75,1.5
Tasiilaq,81,65.61,283.15,61,89,3.6
Clyde River,776,70.47,283.15,100,75,1.5
Spornoye,9030,50.84,288.15,51,0,3.0
Hay River,819,60.82,287.15,62,40,4.6
Katsuura,8038,33.93,300.93,94,75,2.1
Klaksvik,1596,62.23,284.15,87,100,5.1
Hermanus,2003650,-34.42,285.37,82,100,1.79
Dunedin,75281,-45.87,281.48,69,58,1.79
Hobart,9545,-42.88,281.48,61,75,4.6
Tuktoyaktuk,942,69.44,277.15,86,90,5.7
Nikolskoye,8926,59.7,282.15,87,0,2.0
Inverness,1435,57.48,289.15,100,100,2.1
Vila,6734,45.18,298.71,69,75,2.1
Pacific Grove,4980,36.62,308.71,72,75,5.7
Dangriga,7263,16.97,305.37,75,75,4.6
Kahului,7879,20.89,303.15,70,75,3.1
Victoria,9372,5.28,299.15,94,90,2.6
Kuusamo,1352,65.96,281.15,87,0,2.1
Cabo San Lucas,7151,22.89,309.26,48,75,5.7
Mahebourg,2061,-20.41,294.26,94,75,2.1
Pisco,8691,-13.71,295.15,30,20,6.7
Ketchikan,7754,55.34,293.15,87,20,6.2
Tromso,1681,69.65,283.15,71,0,7.2
Santa Rosalia,6708,38.07,300.93,42,0,2.1
Hilo,7881,19.71,302.15,70,75,6.2
Lebu,2453,8.96,287.15,82,75,2.1
Kapaa,7873,22.08,303.71,70,75,3.6
Kokkola,1343,63.84,284.82,66,0,2.1
Tautira,7318,-17.73,300.15,69,20,3.1
Miramar,7217,10.09,301.15,54,75,3.1
Kaitangata,2000217,-46.28,280.37,67,100,4.02
Avarua,7271,-21.21,297.15,73,100,4.1
Longyearbyen,1663,78.22,282.15,70,75,2.1
Broome,1467,52.47,291.48,88,12,2.6
Thompson,935,55.74,292.15,45,75,7.7
Puerto Ayora,8521,-0.74,297.15,69,75,3.6
Hamilton,818,43.26,299.26,78,90,3.1
Fort Nelson,986,58.81,292.15,52,40,4.6
Necochea,2019717,-38.55,283.15,77,0,1.79
Belen,9725,34.66,306.48,28,1,5.7
Grindavik,90,63.84,286.48,93,75,4.6
Raudeberg,1616,61.99,289.15,87,91,3.1
Sitka,2021131,37.17,310.93,35,37,4.92
Schweinfurt,1838,50.05,292.59,100,1,4.1
